album_id,album_name,song_url,song_name,song_count
1,"Greetings From Asbury Park, N.J.",/song:blinded-by-the-light,Blinded By The Light,1
1,"Greetings From Asbury Park, N.J.",/song:growin-up,Growin' Up,2
1,"Greetings From Asbury Park, N.J.",/song:mary-queen-of-arkansas,Mary Queen Of Arkansas,3
1,"Greetings From Asbury Park, N.J.",/song:does-this-bus-stop-at-82nd-street,Does This Bus Stop At 82nd Street?,4
1,"Greetings From Asbury Park, N.J.",/song:lost-in-the-flood,Lost In The Flood,5
1,"Greetings From Asbury Park, N.J.",/song:the-angel,The Angel,6
1,"Greetings From Asbury Park, N.J.",/song:for-you,For You,7
1,"Greetings From Asbury Park, N.J.",/song:spirit-in-the-night,Spirit In The Night,8
1,"Greetings From Asbury Park, N.J.",/song:it-s-hard-to-be-a-saint-in-the-city,It's Hard To Be A Saint In The City,9
2,"The Wild, The Innocent & The E Street Shuffle",/song:the-e-street-shuffle,The E Street Shuffle,1
2,"The Wild, The Innocent & The E Street Shuffle",/song:4th-of-july-asbury-park-sandy,"4th Of July, Asbury Park (Sandy)",2
2,"The Wild, The Innocent & The E Street Shuffle",/song:kitty-s-back,Kitty's Back,3
2,"The Wild, The Innocent & The E Street Shuffle",/song:wild-billy-s-circus-story,Wild Billy's Circus Story,4
2,"The Wild, The Innocent & The E Street Shuffle",/song:incident-on-57th-street,Incident On 57th Street,5
2,"The Wild, The Innocent & The E Street Shuffle",/song:rosalita-come-out-tonight,Rosalita (Come Out Tonight),6
2,"The Wild, The Innocent & The E Street Shuffle",/song:new-york-city-serenade,New York City Serenade,7
3,Born To Run,/song:thunder-road,Thunder Road,1
3,Born To Run,/song:tenth-avenue-freeze-out,Tenth Avenue Freeze-Out,2
3,Born To Run,/song:night,Night,3
3,Born To Run,/song:backstreets,Backstreets,4
3,Born To Run,/song:born-to-run,Born To Run,5
3,Born To Run,/song:she-s-the-one,She's The One,6
3,Born To Run,/song:meeting-across-the-river,Meeting Across The River,7
3,Born To Run,/song:jungleland,Jungleland,8
4,Darkness On The Edge Of Town,/song:badlands,Badlands,1
4,Darkness On The Edge Of Town,/song:adam-raised-a-cain,Adam Raised A Cain,2
4,Darkness On The Edge Of Town,/song:something-in-the-night,Something In The Night,3
4,Darkness On The Edge Of Town,/song:candy-s-room,Candy's Room,4
4,Darkness On The Edge Of Town,/song:racing-in-the-street,Racing In The Street,5
4,Darkness On The Edge Of Town,/song:the-promised-land,The Promised Land,6
4,Darkness On The Edge Of Town,/song:factory,Factory,7
4,Darkness On The Edge Of Town,/song:streets-of-fire,Streets Of Fire,8
4,Darkness On The Edge Of Town,/song:prove-it-all-night,Prove It All Night,9
4,Darkness On The Edge Of Town,/song:darkness-on-the-edge-of-town,Darkness On The Edge Of Town,10
5,The River,/song:the-ties-that-bind,The Ties That Bind,1
5,The River,/song:sherry-darling,Sherry Darling,2
5,The River,/song:jackson-cage,Jackson Cage,3
5,The River,/song:two-hearts,Two Hearts,4
5,The River,/song:independence-day,Independence Day,5
5,The River,/song:hungry-heart,Hungry Heart,6
5,The River,/song:out-in-the-street,Out In The Street,7
5,The River,/song:crush-on-you,Crush On You,8
5,The River,/song:you-can-look-but-you-better-not-touch,You Can Look (But You Better Not Touch),9
5,The River,/song:i-wanna-marry-you,I Wanna Marry You,10
5,The River,/song:the-river,The River,11
5,The River,/song:point-blank,Point Blank,12
5,The River,/song:cadillac-ranch,Cadillac Ranch,13
5,The River,/song:i-m-a-rocker,I'm A Rocker,14
5,The River,/song:fade-away,Fade Away,15
5,The River,/song:stolen-car,Stolen Car,16
5,The River,/song:ramrod,Ramrod,17
5,The River,/song:the-price-you-pay,The Price You Pay,18
5,The River,/song:drive-all-night,Drive All Night,19
5,The River,/song:wreck-on-the-highway,Wreck On The Highway,20
6,Nebraska,/song:nebraska,Nebraska,1
6,Nebraska,/song:atlantic-city,Atlantic City,2
6,Nebraska,/song:mansion-on-the-hill,Mansion On The Hill,3
6,Nebraska,/song:johnny-99,Johnny 99,4
6,Nebraska,/song:highway-patrolman,Highway Patrolman,5
6,Nebraska,/song:state-trooper,State Trooper,6
6,Nebraska,/song:used-cars,Used Cars,7
6,Nebraska,/song:open-all-night,Open All Night,8
6,Nebraska,/song:my-father-s-house,My Father's House,9
6,Nebraska,/song:reason-to-believe,Reason To Believe,10
7,Born In The U.S.A.,/song:born-in-the-u-s-a,Born In The U.S.A.,1
7,Born In The U.S.A.,/song:cover-me,Cover Me,2
7,Born In The U.S.A.,/song:darlington-county,Darlington County,3
7,Born In The U.S.A.,/song:working-on-the-highway,Working On The Highway,4
7,Born In The U.S.A.,/song:downbound-train,Downbound Train,5
7,Born In The U.S.A.,/song:i-m-on-fire,I'm On Fire,6
7,Born In The U.S.A.,/song:no-surrender,No Surrender,7
7,Born In The U.S.A.,/song:bobby-jean,Bobby Jean,8
7,Born In The U.S.A.,/song:i-m-goin-down,I'm Goin' Down,9
7,Born In The U.S.A.,/song:glory-days,Glory Days,10
7,Born In The U.S.A.,/song:dancing-in-the-dark,Dancing In The Dark,11
7,Born In The U.S.A.,/song:my-hometown,My Hometown,12
8,Tunnel Of Love,/song:ain-t-got-you,Ain't Got You,1
8,Tunnel Of Love,/song:tougher-than-the-rest,Tougher Than The Rest,2
8,Tunnel Of Love,/song:all-that-heaven-will-allow,All That Heaven Will Allow,3
8,Tunnel Of Love,/song:spare-parts,Spare Parts,4
8,Tunnel Of Love,/song:cautious-man,Cautious Man,5
8,Tunnel Of Love,/song:walk-like-a-man,Walk Like A Man,6
8,Tunnel Of Love,/song:tunnel-of-love,Tunnel Of Love,7
8,Tunnel Of Love,/song:two-faces,Two Faces,8
8,Tunnel Of Love,/song:brilliant-disguise,Brilliant Disguise,9
8,Tunnel Of Love,/song:one-step-up,One Step Up,10
8,Tunnel Of Love,/song:when-you-re-alone,When You're Alone,11
8,Tunnel Of Love,/song:valentine-s-day,Valentine's Day,12
9,Human Touch,/song:human-touch,Human Touch,1
9,Human Touch,/song:soul-driver,Soul Driver,2
9,Human Touch,/song:57-channels-and-nothin-on,57 Channels (And Nothin' On),3
9,Human Touch,/song:cross-my-heart,Cross My Heart,4
9,Human Touch,/song:gloria-s-eyes,Gloria's Eyes,5
9,Human Touch,/song:with-every-wish,With Every Wish,6
9,Human Touch,/song:roll-of-the-dice,Roll Of The Dice,7
9,Human Touch,/song:real-world,Real World,8
9,Human Touch,/song:all-or-nothin-at-all,All Or Nothin' At All,9
9,Human Touch,/song:man-s-job,Man's Job,10
9,Human Touch,/song:i-wish-i-were-blind,I Wish I Were Blind,11
9,Human Touch,/song:the-long-goodbye,The Long Goodbye,12
9,Human Touch,/song:real-man,Real Man,13
9,Human Touch,/song:pony-boy,Pony Boy,14
10,Lucky Town,/song:better-days,Better Days,1
10,Lucky Town,/song:lucky-town,Lucky Town,2
10,Lucky Town,/song:local-hero,Local Hero,3
10,Lucky Town,/song:if-i-should-fall-behind,If I Should Fall Behind,4
10,Lucky Town,/song:leap-of-faith,Leap Of Faith,5
10,Lucky Town,/song:the-big-muddy,The Big Muddy,6
10,Lucky Town,/song:living-proof,Living Proof,7
10,Lucky Town,/song:book-of-dreams,Book Of Dreams,8
10,Lucky Town,/song:souls-of-the-departed,Souls Of The Departed,9
10,Lucky Town,/song:my-beautiful-reward,My Beautiful Reward,10
11,The Ghost Of Tom Joad,/song:the-ghost-of-tom-joad,The Ghost Of Tom Joad,1
11,The Ghost Of Tom Joad,/song:straight-time,Straight Time,2
11,The Ghost Of Tom Joad,/song:highway-29,Highway 29,3
11,The Ghost Of Tom Joad,/song:youngstown,Youngstown,4
11,The Ghost Of Tom Joad,/song:sinaloa-cowboys,Sinaloa Cowboys,5
11,The Ghost Of Tom Joad,/song:the-line,The Line,6
11,The Ghost Of Tom Joad,/song:balboa-park,Balboa Park,7
11,The Ghost Of Tom Joad,/song:dry-lightning,Dry Lightning,8
11,The Ghost Of Tom Joad,/song:the-new-timer,The New Timer,9
11,The Ghost Of Tom Joad,/song:across-the-border,Across The Border,10
11,The Ghost Of Tom Joad,/song:galveston-bay,Galveston Bay,11
11,The Ghost Of Tom Joad,/song:my-best-was-never-good-enough,My Best Was Never Good Enough,12
12,The Rising,/song:lonesome-day,Lonesome Day,1
12,The Rising,/song:into-the-fire,Into The Fire,2
12,The Rising,/song:waitin-on-a-sunny-day,Waitin' On A Sunny Day,3
12,The Rising,/song:nothing-man,Nothing Man,4
12,The Rising,/song:countin-on-a-miracle,Countin' On A Miracle,5
12,The Rising,/song:empty-sky,Empty Sky,6
12,The Rising,/song:worlds-apart,Worlds Apart,7
12,The Rising,/song:let-s-be-friends-skin-to-skin,Let's Be Friends (Skin To Skin),8
12,The Rising,/song:further-on-up-the-road,Further On (Up The Road),9
12,The Rising,/song:the-fuse,The Fuse,10
12,The Rising,/song:mary-s-place,Mary's Place,11
12,The Rising,/song:you-re-missing,You're Missing,12
12,The Rising,/song:the-rising,The Rising,13
12,The Rising,/song:paradise,Paradise,14
12,The Rising,/song:my-city-of-ruins,My City Of Ruins,15
13,Devils & Dust,/song:devils-dust,Devils & Dust,1
13,Devils & Dust,/song:all-the-way-home,All The Way Home,2
13,Devils & Dust,/song:reno,Reno,3
13,Devils & Dust,/song:long-time-comin,Long Time Comin',4
13,Devils & Dust,/song:black-cowboys,Black Cowboys,5
13,Devils & Dust,/song:maria-s-bed,Maria's Bed,6
13,Devils & Dust,/song:silver-palomino,Silver Palomino,7
13,Devils & Dust,/song:jesus-was-an-only-son,Jesus Was An Only Son,8
13,Devils & Dust,/song:leah,Leah,9
13,Devils & Dust,/song:the-hitter,The Hitter,10
13,Devils & Dust,/song:all-i-m-thinkin-about,All I'm Thinkin' About,11
13,Devils & Dust,/song:matamoros-banks,Matamoros Banks,12
14,We Shall Overcome,/song:old-dan-tucker,Old Dan Tucker,1
14,We Shall Overcome,/song:buffalo-gals,Buffalo Gals,2
14,We Shall Overcome,/song:jesse-james,Jesse James,3
14,We Shall Overcome,/song:how-can-i-keep-from-singing,How Can I Keep From Singing?,4
14,We Shall Overcome,/song:mrs-mcgrath,Mrs. McGrath,5
14,We Shall Overcome,/song:how-can-a-poor-man-stand-such-times-and-live,How Can A Poor Man Stand Such Times And Live?,6
14,We Shall Overcome,/song:o-mary-don-t-you-weep,O Mary Don't You Weep,7
14,We Shall Overcome,/song:bring-em-home,Bring 'Em Home,8
14,We Shall Overcome,/song:john-henry,John Henry,9
14,We Shall Overcome,/song:american-land,American Land,10
14,We Shall Overcome,/song:erie-canal,Erie Canal,11
14,We Shall Overcome,/song:jacob-s-ladder,Jacob's Ladder,12
14,We Shall Overcome,/song:my-oklahoma-home,My Oklahoma Home,13
14,We Shall Overcome,/song:eyes-on-the-prize,Eyes On The Prize,14
14,We Shall Overcome,/song:shenandoah,Shenandoah,15
14,We Shall Overcome,/song:pay-me-my-money-down,Pay Me My Money Down,16
14,We Shall Overcome,/song:we-shall-overcome,We Shall Overcome,17
14,We Shall Overcome,/song:froggie-went-a-courtin,Froggie Went A-Courtin',18
15,Magic,/song:radio-nowhere,Radio Nowhere,1
15,Magic,/song:you-ll-be-comin-down,You'll Be Comin' Down,2
15,Magic,/song:livin-in-the-future,Livin' In The Future,3
15,Magic,/song:your-own-worst-enemy,Your Own Worst Enemy,4
15,Magic,/song:gypsy-biker,Gypsy Biker,5
15,Magic,/song:girls-in-their-summer-clothes,Girls In Their Summer Clothes,6
15,Magic,/song:i-ll-work-for-your-love,I'll Work For Your Love,7
15,Magic,/song:magic,Magic,8
15,Magic,/song:last-to-die,Last To Die,9
15,Magic,/song:long-walk-home,Long Walk Home,10
15,Magic,/song:devil-s-arcade,Devil's Arcade,11
15,Magic,/song:terry-s-song,Terry's Song,12
16,Working On A Dream,/song:outlaw-pete,Outlaw Pete,1
16,Working On A Dream,/song:my-lucky-day,My Lucky Day,2
16,Working On A Dream,/song:working-on-a-dream,Working On A Dream,3
16,Working On A Dream,/song:queen-of-the-supermarket,Queen Of The Supermarket,4
16,Working On A Dream,/song:what-love-can-do,What Love Can Do,5
16,Working On A Dream,/song:this-life,This Life,6
16,Working On A Dream,/song:good-eye,Good Eye,7
16,Working On A Dream,/song:tomorrow-never-knows,Tomorrow Never Knows,8
16,Working On A Dream,/song:life-itself,Life Itself,9
16,Working On A Dream,/song:kingdom-of-days,Kingdom Of Days,10
16,Working On A Dream,/song:surprise-surprise,"Surprise, Surprise",11
16,Working On A Dream,/song:the-last-carnival,The Last Carnival,12
16,Working On A Dream,/song:the-wrestler,The Wrestler,13
16,Working On A Dream,/song:a-night-with-the-jersey-devil,A Night With The Jersey Devil,14
17,Wrecking Ball,/song:we-take-care-of-our-own,We Take Care Of Our Own,1
17,Wrecking Ball,/song:easy-money,Easy Money,2
17,Wrecking Ball,/song:shackled-and-drawn,Shackled And Drawn,3
17,Wrecking Ball,/song:jack-of-all-trades,Jack Of All Trades,4
17,Wrecking Ball,/song:death-to-my-hometown,Death To My Hometown,5
17,Wrecking Ball,/song:this-depression,This Depression,6
17,Wrecking Ball,/song:wrecking-ball,Wrecking Ball,7
17,Wrecking Ball,/song:you-ve-got-it,You've Got It,8
17,Wrecking Ball,/song:rocky-ground,Rocky Ground,9
17,Wrecking Ball,/song:land-of-hope-and-dreams,Land Of Hope And Dreams,10
17,Wrecking Ball,/song:we-are-alive,We Are Alive,11
