band_id,band_url,band_name,num_performances
1,/relation:alabama-shakes,Alabama Shakes,1
2,/relation:the-alliance-singers,The Alliance Singers,11
3,/relation:the-allstars,The Allstars,1
4,/relation:arcade-fire,Arcade Fire,1
5,/relation:artists-united-against-apartheid,Artists United Against Apartheid,0
6,/relation:the-asbury-jukes,The Asbury Jukes,17
7,/relation:atlantic-city-expressway,Atlantic City Expressway,1
8,/relation:the-australian-urban-orchestra,The Australian Urban Orchestra,7
9,/relation:the-avatar-strings,The Avatar Strings,0
10,/relation:the-bacon-brothers,The Bacon Brothers,1
11,/relation:the-badboys,The Badboys,1
12,/relation:the-bank-street-blues-band,The Bank Street Blues Band,2
13,/relation:the-beach-boys,The Beach Boys,1
14,/relation:beaver-brown,Beaver Brown,12
15,/relation:the-beaver-brown-band,The Beaver Brown Band,0
16,/relation:the-big-bad-bobby-williams-band,The Big Bad Bobby Williams Band,4
17,/relation:billy-rancher-the-unreal-gods,Billy Rancher & The Unreal Gods,0
18,/relation:the-blackberry-booze-band,The Blackberry Booze Band,5
19,/relation:the-blasters,The Blasters,1
20,/relation:bleachers,Bleachers,2
21,/relation:bobby-bandiera-band,The Bobby Bandiera Band,31
22,/relation:bob-seger-the-silver-bullet-band,Bob Seger & The Silver Bullet Band,0
23,/relation:boccigalupe-the-badboys,Boccigalupe & The Badboys,4
24,/relation:bon-iver,Bon Iver,0
25,/relation:bon-jovi,Bon Jovi,6
26,/relation:booker-t-the-m-g-s,Booker T & The M.G.'s,1
27,/relation:brian-kirk-the-jirks,Brian Kirk & The Jirks,1
28,/relation:bright-eyes,Bright Eyes,4
29,/relation:the-bruce-springsteen-band,The Bruce Springsteen Band,82
30,/relation:bruce-springsteen-the-e-street-band,Bruce Springsteen & The E Street Band,0
31,/relation:bruce-springsteen-the-other-band,Bruce Springsteen & The Other Band,0
32,/relation:bruce-springsteen-the-seeger-sessions-band,Bruce Springsteen & The Seeger Sessions Band,0
33,/relation:bruce-springsteen-the-sessions-band,Bruce Springsteen & The Sessions Band,0
34,/relation:the-byrds,The Byrds,1
35,/relation:bystander,Bystander,1
36,/relation:the-castiles,The Castiles,118
37,/relation:cats-on-a-smooth-surface,Cats On A Smooth Surface,33
38,/relation:cbs-orchestra,The CBS Orchestra,4
39,/relation:the-chambers-brothers,The Chambers Brothers,1
40,/relation:the-cherubs,The Cherubs,1
41,/relation:the-chicks,The Chicks,0
42,/relation:child,Child,47
43,/relation:clarence-clemons-temple-of-soul,Clarence Clemons & Temple Of Soul,0
44,/relation:clarence-clemons-the-red-bank-rockers,Clarence Clemons & The Red Bank Rockers,2
45,/relation:clarence-clemons-the-temple-of-soul,Clarence Clemons & The Temple Of Soul,0
46,/relation:the-coasters,The Coasters,1
47,/relation:coldplay,Coldplay,1
48,/relation:the-composure,The Composure,2
49,/relation:cooper-and-koo-strings,Cooper + Koo Strings,1
50,/relation:crazy-horse,Crazy Horse,2
51,/relation:crosby-stills-nash,"Crosby, Stills & Nash",0
52,/relation:crosby-stills-nash-young,"Crosby, Stills, Nash & Young",1
53,/relation:csn,CSN,0
54,/relation:csny,CSNY,0
55,/relation:the-david-johansen-group,The David Johansen Group,1
56,/relation:david-sancious-tone,David Sancious & Tone,0
57,/relation:the-delevantes,The Delevantes,1
58,/relation:the-del-fuegos,The Del Fuegos,1
59,/relation:the-diamonds,The Diamonds,3
60,/relation:the-dictators,The Dictators,0
61,/relation:the-disciples-of-soul,The Disciples Of Soul,5
