venue_id,venue_url,venue_name,venue_city,venue_state,venue_country,num_performances
1,/venue:1-800-ask-gary-amphitheatre-tampa-fl,1-800-Ask-Gary Amphitheatre,Tampa,FL,USA,0
2,/venue:129-monmouth-street-red-bank-nj,129 Monmouth Street,Red Bank,NJ,USA,9
3,/venue:1st-mariner-arena-baltimore-md,1st Mariner Arena,Baltimore,MD,USA,1
4,/venue:2nd-charles-kennesaw-ga,2nd & Charles,Kennesaw,GA,USA,0
5,/venue:54-below-new-york-city-ny,54 Below,New York City,NY,USA,0
6,/venue:615-night-club-york-pa,615 Night Club,York,PA,USA,1
7,/venue:914-sound-studios-blauvelt-ny,914 Sound Studios,Blauvelt,NY,USA,1
8,/venue:a-m-studios-hollywood-ca,A&M Studios,Hollywood,CA,USA,0
9,/venue:aami-park-melbourne-australia,AAMI Park,Melbourne,,Australia,4
10,/venue:aaron-s-amphitheatre-at-lakewood-atlanta-ga,Aaron's Amphitheatre At Lakewood,Atlanta,GA,USA,1
11,/venue:abravanel-hall-salt-lake-city-ut,Abravanel Hall,Salt Lake City,UT,USA,1
12,/venue:academy-of-music-new-york-city-ny,Academy Of Music,New York City,NY,USA,0
13,/venue:academy-of-music-philadelphia-pa,Academy Of Music,Philadelphia,PA,USA,0
14,/venue:accorhotels-arena-paris-france,Accorhotels Arena,Paris,,France,2
15,/venue:acer-arena-sydney-australia,Acer Arena,Sydney,,Australia,0
16,/venue:addison-park-aberdeen-nj,Addison Park,Aberdeen,NJ,USA,1
17,/venue:adirondack-bank-center-utica-ny,Adirondack Bank Center,Utica,NY,USA,0
18,/venue:afas-live-amsterdam-netherlands,AFAS Live,Amsterdam,,The Netherlands,0
19,/venue:agora-cleveland-oh,The Agora,Cleveland,OH,USA,3
20,/venue:agora-columbus-oh,The Agora,Columbus,OH,USA,0
21,/venue:agora-toledo-oh,The Agora,Toledo,OH,USA,1
22,/venue:ahmanson-theatre-los-angeles-ca,Ahmanson Theater,Los Angeles,CA,USA,1
23,/venue:air-canada-centre-toronto-on,Air Canada Centre,Toronto,ON,Canada,8
24,/venue:alameda-county-coliseum-arena-oakland-ca,Oakland-Alameda County Coliseum Arena,Oakland,CA,USA,4
25,/venue:alameda-county-coliseum-oakland-ca,Oakland-Alameda County Coliseum,Oakland,CA,USA,3
26,/venue:albright-college-reading-pa,Albright College,Reading,PA,USA,0
27,/venue:alexander-hall-princeton-nj,Alexander Hall,Princeton,NJ,USA,2
28,/venue:alice-tully-hall-new-york-city-ny,Alice Tully Hall,New York City,NY,USA,2
29,/venue:allegheny-college-meadville-pa,Allegheny College,Meadville,PA,USA,0
30,/venue:allen-theatre-cleveland-oh,Allen Theatre,Cleveland,OH,USA,4
31,/venue:alliant-energy-center-madison-wi,Alliant Energy Center,Madison,WI,USA,0
32,/venue:allphones-arena-sydney-australia,Allphones Arena,Sydney,,Australia,4
33,/venue:allstate-arena-rosemont-il,Allstate Arena,Rosemont,IL,USA,0
34,/venue:allston-s-mr-music-boston-ma,Allston's Mr. Music,Boston,MA,USA,1
35,/venue:alltel-arena-little-rock-ar,Alltel Arena,Little Rock,AR,USA,1
36,/venue:alpha-sound-studios-richmond-va,Alpha Sound Studios,Richmond,VA,USA,1
37,/venue:alpine-valley-music-theatre-east-troy-wi,Alpine Valley Music Theatre,East Troy,WI,USA,2
38,/venue:alte-oper-frankfurt-germany,Alte Oper,Frankfurt,,Germany,1
39,/venue:alter-flughafen-riem-munich-germany,Alter Flughafen Riem,Munich,,Germany,1
40,/venue:altria-theater-richmond-va,Altria Theater,Richmond,VA,USA,0
41,/venue:alumnae-hall-providence-ri,Alumnae Hall,Providence,RI,USA,1
42,/venue:alumni-hall-providence-ri,Alumni Hall,Providence,RI,USA,2
43,/venue:alumni-memorial-gymnasium-west-long-branch-nj,Alumni Memorial Gymnasium,West Long Branch,NJ,USA,1
44,/venue:alumni-stadium-boston-ma,Alumni Stadium,Boston,MA,USA,0
45,/venue:alumni-stadium-hadley-ma,Alumni Stadium,Hadley,MA,USA,1
46,/venue:alvin-theatre-new-york-city-ny,Alvin Theatre,New York City,NY,USA,0
47,/venue:amalie-arena-tampa-fl,Amalie Arena,Tampa,FL,USA,3
48,/venue:ambassador-hotel-los-angeles-ca,Ambassador Hotel,Los Angeles,CA,USA,0
